Date,True,Predict
2022-05-25,0.9338843,0.85576814
2022-05-26,0.94214875,0.8743016
2022-05-27,0.892562,0.8926156
2022-05-30,0.88429755,0.88993627
2022-05-31,0.88429755,0.8872727
2022-06-02,0.9338843,0.87662846
2022-06-03,0.8677686,0.8722315
2022-06-07,0.8677686,0.8602809
2022-06-08,0.87603307,0.8567207
2022-06-09,0.8429752,0.8527351
2022-06-10,0.8347107,0.8470457
2022-06-13,0.8181818,0.82817775
2022-06-14,0.80991733,0.81904906
2022-06-15,0.8181818,0.8075462
2022-06-16,0.892562,0.79713446
2022-06-17,0.87603307,0.8073382
2022-06-20,0.88429755,0.81651956
2022-06-21,0.90082645,0.8301355
2022-06-22,0.90082645,0.8489195
2022-06-23,0.88429755,0.8610378
2022-06-24,0.92561984,0.8559142
2022-06-27,0.90082645,0.8648144
2022-06-28,0.892562,0.867682
2022-06-29,0.892562,0.86934584
2022-06-30,0.90909094,0.8729291
2022-07-01,0.92561984,0.8779569
2022-07-04,0.90909094,0.8739869
2022-07-05,0.90909094,0.88692313
2022-07-06,0.88429755,0.88788575
2022-07-07,0.892562,0.8883034
2022-07-08,0.90909094,0.88685924
2022-07-11,0.90909094,0.8834847
2022-07-12,0.87603307,0.88134784
2022-07-13,0.90909094,0.8871741
2022-07-14,0.92561984,0.8902558
2022-07-15,0.94214875,0.8889701
2022-07-18,0.9338843,0.8918176
2022-07-19,0.90082645,0.89408195
2022-07-20,0.9338843,0.895989
2022-07-21,0.9338843,0.8961604
2022-07-22,0.92561984,0.8966301
2022-07-25,0.892562,0.89139104
2022-07-26,0.94214875,0.89252406
2022-07-27,0.94214875,0.8989336
2022-07-28,0.9338843,0.900477
2022-07-29,0.9338843,0.9003051
2022-08-01,0.91735536,0.9035753
2022-08-02,0.87603307,0.90691817
2022-08-03,0.9338843,0.90021634
2022-08-04,0.87603307,0.89440775
2022-08-05,0.90082645,0.8877973
2022-08-08,0.8595041,0.8762494
2022-08-09,0.88429755,0.86606675
2022-08-10,0.8595041,0.87203926
2022-08-11,0.8677686,0.8615275
2022-08-12,0.90909094,0.85914105
2022-08-16,0.92561984,0.86357844
2022-08-17,0.8677686,0.86627024
2022-08-18,0.90909094,0.8697184
2022-08-19,0.892562,0.8692375
2022-08-22,0.91735536,0.87335765
2022-08-23,0.90909094,0.86759335
2022-08-24,0.87603307,0.8625562
2022-08-25,0.87603307,0.86310214
2022-08-26,0.8512397,0.86084926
2022-08-29,0.8677686,0.85584956
2022-08-30,0.8347107,0.8536386
2022-08-31,0.8429752,0.8387086
2022-09-01,0.8429752,0.8290359
2022-09-02,0.88429755,0.8203445
2022-09-05,0.87603307,0.8221726
2022-09-06,0.80991733,0.8197312
2022-09-07,0.87603307,0.8174551
2022-09-08,0.80991733,0.81891245
